RPM,MAP,TempoDeInjecao,Confianca
850,-0.925,11.1,6.23
850,-0.875,9.0,5.397
850,-0.825,2.5,4.978
850,-0.775,2.0,4.587
850,-0.725,10.1,4.933
850,-0.675,7.2,5.161
850,-0.625,4.0,5.755
850,-0.575,2.3,6.323
850,-0.525,3.5,5.622
850,-0.475,4.0,5.944
850,-0.425,3.1,6.056
850,-0.375,7.5,4.351
850,-0.325,3.7,4.499
850,-0.275,10.9,6.165
850,-0.225,2.9,6.366
850,-0.175,3.4,5.874
850,-0.125,3.7,4.269
850,-0.075,4.2,4.34
850,-0.025,11.0,3.625
850,0.025,11.5,4.471
950,-0.925,7.9,6.258
950,-0.875,1.6,5.023
950,-0.825,5.8,4.613
950,-0.775,8.5,4.749
950,-0.725,5.1,4.927
950,-0.675,1.6,5.2
950,-0.625,3.9,6.183
950,-0.575,2.1,5.836
950,-0.525,2.6,5.918
950,-0.475,3.5,5.522
950,-0.425,10.2,5.136
950,-0.375,2.3,5.61
950,-0.325,3.1,5.252
950,-0.275,2.7,5.825
950,-0.225,4.3,5.194
950,-0.175,7.9,5.376
950,-0.125,3.6,5.494
950,-0.075,3.7,4.823
950,-0.025,7.0,3.646
950,0.025,6.4,5.598
1050,-0.925,6.1,5.508
1050,-0.875,2.6,5.641
1050,-0.825,12.0,5.099
1050,-0.775,1.9,5.774
1050,-0.725,7.1,5.587
1050,-0.675,10.5,5.118
1050,-0.625,2.6,6.979
1050,-0.575,11.7,6.354
1050,-0.525,3.1,5.236
1050,-0.475,2.7,5.338
1050,-0.425,7.6,5.122
1050,-0.375,4.8,5.724
1050,-0.325,5.8,5.48
1050,-0.275,2.9,6.596
1050,-0.225,9.1,5.1
1050,-0.175,5.7,4.235
1050,-0.125,3.5,5.019
1050,-0.075,3.0,4.807
1050,-0.025,11.8,3.877
1050,0.025,4.5,4.339
1150,-0.925,3.9,5.16
1150,-0.875,8.9,5.376
1150,-0.825,9.7,5.191
1150,-0.775,1.8,5.062
1150,-0.725,6.4,5.306
1150,-0.675,2.1,6.287
1150,-0.625,2.5,7.602
1150,-0.575,2.6,7.205
1150,-0.525,3.4,5.313
1150,-0.475,9.3,5.3
1150,-0.425,5.5,4.956
1150,-0.375,10.7,5.008
1150,-0.325,7.5,5.705
1150,-0.275,2.5,6.094
1150,-0.225,2.3,6.091
1150,-0.175,3.1,6.254
1150,-0.125,5.0,5.046
1150,-0.075,1.8,4.499
1150,-0.025,8.6,3.481
1150,0.025,1.7,3.679
1250,-0.925,9.5,6.012
1250,-0.875,11.2,4.022
1250,-0.825,10.1,5.172
1250,-0.775,5.9,5.422
1250,-0.725,3.4,4.024
1250,-0.675,7.7,5.1
1250,-0.625,2.0,6.563
1250,-0.575,3.1,6.785
1250,-0.525,3.6,6.043
1250,-0.475,2.4,5.689
1250,-0.425,3.0,5.364
1250,-0.375,10.8,4.484
1250,-0.325,10.7,4.876
1250,-0.275,2.5,6.179
1250,-0.225,2.7,6.632
1250,-0.175,9.2,5.389
1250,-0.125,10.2,4.755
1250,-0.075,2.5,5.496
1250,-0.025,12.0,4.739
1250,0.025,9.4,4.424
1350,-0.925,6.2,5.497
1350,-0.875,7.2,5.416
1350,-0.825,11.1,4.995
1350,-0.775,2.0,4.17
1350,-0.725,3.2,5.41
1350,-0.675,4.3,4.672
1350,-0.625,3.7,6.472
1350,-0.575,2.3,6.297
1350,-0.525,2.7,6.204
1350,-0.475,9.7,5.215
1350,-0.425,2.2,5.38
1350,-0.375,3.5,5.059
1350,-0.325,3.7,4.798
1350,-0.275,7.7,4.669
1350,-0.225,4.9,5.121
1350,-0.175,5.0,4.421
1350,-0.125,7.4,4.647
1350,-0.075,2.0,4.818
1350,-0.025,5.2,4.329
1350,0.025,6.7,4.014
1450,-0.925,9.9,5.814
1450,-0.875,2.5,6.87
1450,-0.825,9.4,5.897
1450,-0.775,4.1,5.615
1450,-0.725,5.0,4.838
1450,-0.675,4.8,5.425
1450,-0.625,11.3,5.247
1450,-0.575,3.1,5.418
1450,-0.525,8.9,5.909
1450,-0.475,4.7,5.074
1450,-0.425,3.3,5.223
