RPM,MAP,TempoDeInjecao,Confianca
800,-0.95,1.5,0.004
800,-0.85,6.6,0.007
800,-0.75,6.5,0.004
800,-0.65,3.0,0.006
800,-0.55,4.5,0.003
800,-0.45,5.0,0.004
800,-0.35,5.7,0.001
800,-0.25,2.5,0.003
800,-0.15,2.8,0.003
800,-0.05,9.1,0.004
800,0.05,3.8,0.002
801,-0.95,8.9,0.004
801,-0.85,11.5,0.005
801,-0.75,2.4,0.005
801,-0.65,2.2,0.003
801,-0.55,2.6,0.005
801,-0.45,7.0,0.002
801,-0.35,4.1,0.003
801,-0.25,2.8,0.004
801,-0.15,4.4,0.003
801,-0.05,5.4,0.003
801,0.05,11.6,0.003
802,-0.95,14.1,0.003
802,-0.85,2.5,0.005
802,-0.75,7.9,0.004
802,-0.65,2.7,0.007
802,-0.55,12.0,0.003
802,-0.45,2.8,0.005
802,-0.35,3.1,0.003
802,-0.25,2.7,0.002
802,-0.15,2.9,0.003
802,-0.05,4.6,0.002
802,0.05,7.4,0.004
803,-0.95,10.8,0.004
803,-0.85,8.2,0.002
803,-0.75,2.9,0.009
803,-0.65,11.9,0.006
803,-0.55,2.3,0.005
803,-0.45,4.9,0.003
803,-0.35,3.7,0.004
803,-0.25,2.9,0.005
803,-0.15,12.6,0.002
803,-0.05,5.1,0.003
803,0.05,3.9,0.005
804,-0.95,10.0,0.005
804,-0.85,2.2,0.006
804,-0.75,6.5,0.006
804,-0.65,3.9,0.006
804,-0.55,5.2,0.005
804,-0.45,6.7,0.002
804,-0.35,4.9,0.002
804,-0.25,3.0,0.004
804,-0.15,4.2,0.004
804,-0.05,1.5,0.003
804,0.05,8.6,0.004
805,-0.95,6.4,0.002
805,-0.85,2.7,0.007
805,-0.75,4.3,0.005
805,-0.65,11.9,0.003
805,-0.55,5.0,0.004
805,-0.45,9.3,0.003
805,-0.35,7.0,0.003
805,-0.25,3.6,0.004
805,-0.15,12.8,0.003
805,-0.05,2.1,0.002
805,0.05,2.5,0.003
806,-0.95,12.1,0.003
806,-0.85,4.3,0.005
806,-0.75,1.7,0.003
806,-0.65,1.9,0.005
806,-0.55,5.0,0.004
806,-0.45,2.7,0.004
806,-0.35,7.9,0.002
806,-0.25,10.4,0.004
806,-0.15,1.0,0.002
806,-0.05,10.8,0.005
806,0.05,4.4,0.003
807,-0.95,8.3,0.006
807,-0.85,2.7,0.006
807,-0.75,1.8,0.002
807,-0.65,9.5,0.006
807,-0.55,1.9,0.003
807,-0.45,10.2,0.004
807,-0.35,3.6,0.005
807,-0.25,2.2,0.005
807,-0.15,2.4,0.006
807,-0.05,7.5,0.005
807,0.05,8.9,0.004
808,-0.95,4.0,0.006
808,-0.85,3.5,0.005
808,-0.75,2.5,0.005
808,-0.65,1.9,0.003
808,-0.55,4.0,0.007
808,-0.45,10.0,0.005
808,-0.35,11.5,0.002
808,-0.25,3.9,0.004
808,-0.15,5.8,0.005
808,-0.05,7.9,0.003
808,0.05,7.4,0.006
809,-0.95,1.5,0.003
809,-0.85,10.8,0.004
809,-0.75,4.1,0.005
809,-0.65,1.8,0.003
809,-0.55,2.1,0.005
809,-0.45,5.3,0.003
809,-0.35,3.2,0.003
809,-0.25,2.2,0.004
809,-0.15,3.2,0.006
809,-0.05,4.7,0.006
809,0.05,9.7,0.005
810,-0.95,10.2,0.004
810,-0.85,11.0,0.003
810,-0.75,3.5,0.006
810,-0.65,2.1,0.007
810,-0.55,3.5,0.005
810,-0.45,6.3,0.006
810,-0.35,2.7,0.003
810,-0.25,3.2,0.004
810,-0.15,2.3,0.008
810,-0.05,4.5,0.008
810,0.05,2.5,0.003
811,-0.95,11.7,0.005
811,-0.85,3.3,0.005
811,-0.75,3.2,0.006
811,-0.65,1.9,0.005
811,-0.55,3.8,0.005
811,-0.45,2.0,0.005
811,-0.35,6.8,0.004
811,-0.25,2.2,0.004
811,-0.15,5.5,0.004
811,-0.05,2.5,0.004
811,0.05,7.1,0.007
812,-0.95,11.7,0.003
812,-0.85,7.3,0.003
812,-0.75,3.8,0.005
812,-0.65,6.3,0.003
812,-0.55,1.9,0.006
812,-0.45,2.0,0.003
812,-0.35,6.8,0.004
812,-0.25,3.5,0.01
812,-0.15,2.7,0.004
812,-0.05,6.5,0.005
812,0.05,7.5,0.01
813,-0.95,7.1,0.002
813,-0.85,2.3,0.005
813,-0.75,7.7,0.005
813,-0.65,2.5,0.007
