RPM,MAP,TempoDeInjecao,Confianca
816,0.05,3.9,0.174
817,-0.95,10.8,0.229
817,-0.85,2.6,0.249
817,-0.75,7.9,0.167
817,-0.65,3.9,0.204
817,-0.55,4.5,0.204
817,-0.45,1.8,0.177
817,-0.35,4.0,0.214
817,-0.25,4.0,0.199
817,-0.15,3.7,0.16
817,-0.05,7.6,0.142
817,0.05,2.1,0.139
818,-0.95,1.6,0.247
818,-0.85,2.1,0.149
818,-0.75,10.5,0.165
818,-0.65,10.0,0.145
818,-0.55,5.8,0.188
818,-0.45,2.9,0.23
818,-0.35,4.2,0.17
818,-0.25,11.7,0.172
818,-0.15,11.0,0.203
818,-0.05,4.0,0.206
818,0.05,9.8,0.154
819,-0.95,10.7,0.264
819,-0.85,1.6,0.142
819,-0.75,2.3,0.217
819,-0.65,1.7,0.18
819,-0.55,1.8,0.157
819,-0.45,9.7,0.153
819,-0.35,1.9,0.174
819,-0.25,11.5,0.172
819,-0.15,5.3,0.185
819,-0.05,6.4,0.214
819,0.05,2.8,0.184
820,-0.95,9.4,0.152
820,-0.85,4.1,0.178
820,-0.75,5.3,0.148
820,-0.65,3.0,0.215
820,-0.55,3.1,0.216
820,-0.45,3.5,0.213
820,-0.35,6.7,0.167
820,-0.25,5.0,0.151
820,-0.15,14.5,0.083
820,-0.05,2.1,0.198
820,0.05,7.6,0.182
821,-0.95,10.4,0.263
821,-0.85,2.8,0.2
821,-0.75,2.9,0.296
821,-0.65,3.2,0.188
821,-0.55,2.5,0.309
821,-0.45,7.8,0.162
821,-0.35,1.9,0.18
821,-0.25,4.3,0.178
821,-0.15,3.6,0.154
821,-0.05,2.0,0.162
821,0.05,2.3,0.131
822,-0.95,9.4,0.175
822,-0.85,7.7,0.189
822,-0.75,4.2,0.18
822,-0.65,7.2,0.196
822,-0.55,4.2,0.205
822,-0.45,11.5,0.186
822,-0.35,9.7,0.136
822,-0.25,1.9,0.171
822,-0.15,6.7,0.158
822,-0.05,5.3,0.188
822,0.05,2.1,0.127
823,-0.95,6.0,0.15
823,-0.85,5.4,0.163
823,-0.75,10.6,0.188
823,-0.65,7.0,0.192
823,-0.55,3.5,0.247
823,-0.45,4.1,0.179
823,-0.35,1.9,0.185
823,-0.25,1.9,0.184
823,-0.15,2.0,0.2
823,-0.05,9.3,0.185
823,0.05,2.1,0.101
824,-0.95,9.3,0.225
824,-0.85,9.3,0.132
824,-0.75,2.5,0.248
824,-0.65,10.7,0.201
824,-0.55,11.4,0.144
824,-0.45,2.9,0.185
824,-0.35,2.2,0.198
824,-0.25,6.4,0.163
824,-0.15,2.0,0.219
824,-0.05,2.2,0.183
824,0.05,6.2,0.194
825,-0.95,4.6,0.161
825,-0.85,6.6,0.17
825,-0.75,2.7,0.168
825,-0.65,5.9,0.151
825,-0.55,1.8,0.151
825,-0.45,10.4,0.121
825,-0.35,2.2,0.139
825,-0.25,1.9,0.19
825,-0.15,14.1,0.084
825,-0.05,3.2,0.157
825,0.05,13.5,0.065
826,-0.95,8.1,0.202
826,-0.85,4.6,0.138
826,-0.75,3.9,0.141
826,-0.65,1.7,0.142
826,-0.55,2.2,0.226
826,-0.45,4.9,0.121
826,-0.35,2.9,0.222
826,-0.25,2.7,0.195
826,-0.15,2.0,0.168
826,-0.05,2.6,0.237
826,0.05,3.3,0.177
827,-0.95,4.0,0.11
827,-0.85,2.2,0.146
827,-0.75,3.7,0.207
827,-0.65,2.2,0.272
827,-0.55,2.3,0.212
827,-0.45,3.1,0.18
827,-0.35,2.3,0.186
827,-0.25,1.5,0.177
827,-0.15,1.6,0.175
827,-0.05,2.4,0.186
827,0.05,4.6,0.214
828,-0.95,7.4,0.117
828,-0.85,2.8,0.196
828,-0.75,3.0,0.212
828,-0.65,14.2,0.099
828,-0.55,4.9,0.203
828,-0.45,1.8,0.134
828,-0.35,4.3,0.162
828,-0.25,5.0,0.175
828,-0.15,4.1,0.192
828,-0.05,9.2,0.191
828,0.05,2.7,0.255
829,-0.95,8.6,0.162
829,-0.85,2.8,0.18
829,-0.75,7.5,0.2
829,-0.65,9.2,0.208
829,-0.55,9.5,0.162
829,-0.45,6.2,0.137
829,-0.35,5.3,0.136
829,-0.25,3.6,0.178
829,-0.15,3.6,0.202
829,-0.05,8.9,0.17
829,0.05,2.7,0.232
830,-0.95,4.4,0.139
830,-0.85,6.8,0.179
830,-0.75,2.2,0.193
830,-0.65,10.8,0.175
830,-0.55,3.3,0.226
830,-0.45,1.8,0.131
830,-0.35,7.1,0.153
830,-0.25,9.8,0.129
830,-0.15,3.4,0.169
830,-0.05,2.0,0.138
830,0.05,1.9,0.167
831,-0.95,8.2,0.251
831,-0.85,3.1,0.247
831,-0.75,1.7,0.164
831,-0.65,1.7,0.14
831,-0.55,1.4,0.052
831,-0.45,1.8,0.178
831,-0.35,8.9,0.172
831,-0.25,2.3,0.236
831,-0.15,3.7,0.172
831,-0.05,2.7,0.244
831,0.05,3.3,0.18
832,-0.95,7.0,0.146
832,-0.85,10.8,0.153
832,-0.75,8.2,0.115
832,-0.65,2.4,0.208
832,-0.55,1.8,0.16
832,-0.45,9.1,0.158
832,-0.35,3.0,0.237
832,-0.25,4.9,0.149
832,-0.15,3.9,0.169
832,-0.05,10.0,0.135
832,0.05,2.4,0.187
833,-0.95,11.6,0.202
833,-0.85,2.7,0.17
833,-0.75,9.0,0.096
833,-0.65,4.9,0.129
833,-0.55,1.8,0.144
833,-0.45,8.5,0.157
833,-0.35,3.1,0.174
833,-0.25,1.9,0.18
833,-0.15,3.8,0.208
833,-0.05,4.0,0.176
833,0.05,3.5,0.152
834,-0.95,11.4,0.177
834,-0.85,3.7,0.188
834,-0.75,1.7,0.206
834,-0.65,3.3,0.188
834,-0.55,1.9,0.16
834,-0.45,3.9,0.199
834,-0.35,2.8,0.276
834,-0.25,2.8,0.221
834,-0.15,6.3,0.14
834,-0.05,1.8,0.152
834,0.05,11.5,0.104
835,-0.95,9.4,0.18
835,-0.85,2.8,0.253
835,-0.75,2.4,0.237
835,-0.65,13.8,0.079
835,-0.55,11.1,0.19
835,-0.45,5.4,0.291
835,-0.35,2.1,0.224
835,-0.25,3.5,0.161
835,-0.15,4.6,0.207
835,-0.05,2.1,0.129
835,0.05,2.6,0.165
836,-0.95,2.1,0.156
836,-0.85,3.2,0.199
836,-0.75,3.4,0.173
836,-0.65,1.7,0.17
836,-0.55,1.8,0.183
836,-0.45,2.8,0.265
836,-0.35,3.1,0.353
836,-0.25,6.2,0.162
836,-0.15,4.0,0.172
836,-0.05,7.8,0.112
836,0.05,7.5,0.178
837,-0.95,7.3,0.154
837,-0.85,2.4,0.178
837,-0.75,9.1,0.152
837,-0.65,9.8,0.128
837,-0.55,1.8,0.146
837,-0.45,3.6,0.248
837,-0.35,11.5,0.183
837,-0.25,4.1,0.244
837,-0.15,11.0,0.245
837,-0.05,8.5,0.222
837,0.05,3.4,0.174
838,-0.95,1.6,0.168
838,-0.85,9.1,0.145
838,-0.75,3.4,0.161
838,-0.65,13.8,0.072
838,-0.55,1.9,0.192
838,-0.45,11.0,0.159
838,-0.35,1.9,0.22
838,-0.25,1.9,0.191
838,-0.15,2.0,0.199
838,-0.05,4.3,0.218
838,0.05,5.2,0.192
839,-0.95,5.4,0.149
839,-0.85,7.6,0.143
839,-0.75,3.8,0.235
839,-0.65,4.5,0.17
839,-0.55,1.8,0.162
839,-0.45,11.0,0.126
839,-0.35,2.7,0.253
839,-0.25,7.6,0.248
839,-0.15,4.2,0.214
839,-0.05,14.8,0.067
839,0.05,7.8,0.236
840,-0.95,9.4,0.205
840,-0.85,10.1,0.179
840,-0.75,1.5,0.152
840,-0.65,10.3,0.167
840,-0.55,11.9,0.167
840,-0.45,2.2,0.196
840,-0.35,4.1,0.152
840,-0.25,11.5,0.152
840,-0.15,3.2,0.213
840,-0.05,2.9,0.216
840,0.05,3.7,0.186
841,-0.95,9.7,0.211
841,-0.85,4.8,0.142
841,-0.75,6.0,0.15
841,-0.65,3.8,0.199
841,-0.55,2.7,0.253
841,-0.45,5.0,0.201
841,-0.35,1.9,0.143
841,-0.25,3.7,0.22
841,-0.15,9.9,0.158
841,-0.05,2.0,0.183
841,0.05,4.0,0.19
842,-0.95,6.7,0.179
842,-0.85,3.4,0.222
842,-0.75,10.3,0.147
842,-0.65,2.6,0.202
842,-0.55,4.4,0.175
842,-0.45,8.2,0.168
842,-0.35,3.6,0.231
842,-0.25,2.7,0.272
842,-0.15,4.4,0.186
842,-0.05,2.9,0.21
842,0.05,11.9,0.174
843,-0.95,7.6,0.208
843,-0.85,7.2,0.113
843,-0.75,4.0,0.152
843,-0.65,2.9,0.219
843,-0.55,10.1,0.194
843,-0.45,3.2,0.215
843,-0.35,2.1,0.174
843,-0.25,2.1,0.185
843,-0.15,2.6,0.195
843,-0.05,2.9,0.214
843,0.05,2.3,0.137
844,-0.95,9.1,0.137
844,-0.85,4.0,0.153
844,-0.75,2.8,0.199
844,-0.65,4.4,0.157
844,-0.55,1.8,0.172
844,-0.45,5.3,0.187
844,-0.35,2.8,0.235
844,-0.25,3.5,0.148
844,-0.15,2.7,0.201
844,-0.05,6.5,0.121
844,0.05,2.0,0.141
845,-0.95,10.7,0.168
845,-0.85,3.2,0.194
845,-0.75,2.6,0.212
845,-0.65,11.9,0.144
845,-0.55,3.4,0.247
845,-0.45,2.5,0.26
845,-0.35,10.3,0.148
845,-0.25,3.0,0.182
845,-0.15,5.2,0.165
845,-0.05,8.4,0.14
845,0.05,9.0,0.196
846,-0.95,7.7,0.196
846,-0.85,6.8,0.173
846,-0.75,2.6,0.236
846,-0.65,1.7,0.197
846,-0.55,8.4,0.16
846,-0.45,3.0,0.263
846,-0.35,2.8,0.252
846,-0.25,6.7,0.179
846,-0.15,1.9,0.166
846,-0.05,2.0,0.138
846,0.05,4.8,0.17
847,-0.95,7.8,0.195
847,-0.85,3.0,0.167
847,-0.75,9.8,0.156
847,-0.65,2.2,0.226
847,-0.55,3.5,0.177
847,-0.45,2.6,0.228
847,-0.35,3.3,0.216
847,-0.25,4.0,0.201
847,-0.15,2.0,0.214
847,-0.05,2.0,0.191
847,0.05,11.5,0.156
848,-0.95,7.1,0.217
848,-0.85,4.2,0.185
848,-0.75,4.8,0.184
848,-0.65,1.7,0.144
848,-0.55,4.0,0.131
